id,title,is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,is_wishlisted,tags
2543059,Learn Machine Learning From Scratch,True,6819,2.0,2.20009,2.20009,50,False,"learn, machine, learning, scratch"
2189664,Crash Course Trading: Technical Analysis and Options Trading,True,1321,4.4,4.36046,4.36046,50,False,"crash, course, trading, technical, analysis, options, trading"
2064303,Do your own UK Tax Return,True,188,3.9,4.0582,4.0582,50,False,"uk, tax, return"
1174504,The Complete Guide to Getting Started as a Real Estate Agent,True,1304,4.45,4.45968,4.45968,50,False,"complete, guide, getting, started, real, estate, agent"
1389252,Practical Data Analysis and Visualization with Python,True,281,3.8,3.80486,3.80486,50,False,"practical, data, analysis, visualization, python"
1240160,How to Create Nonfiction Books That Sell Themselves,True,4398,4.05,3.84504,3.84504,50,False,"create, nonfiction, books, sell"
1221430,Start A Business. Credit Repair Information Business,True,204,4.1,3.95413,3.95413,50,False,"start, business, credit, repair, information, business"
2730996,Certified Quality Process Analyst Training,True,211,4.67308,4.70658,4.70658,50,False,"certified, quality, process, analyst, training"
3058646,THE INDIAN LEGAL STUDY- DIGITAL LAW,True,3989,3.83333,4.0446,4.0446,50,False,"indian, legal, digital, law"
712150,Start your Own Magazine,True,298,4.15,4.16191,4.16191,49,False,"start, magazine"
180692,Helpdesk,True,252,3.85,3.77549,3.77549,49,False,helpdesk
742602,Financial Management Risk and Return For Securities,True,3722,3.85,4.05185,4.05185,49,False,"financial, management, risk, return, securities"
1587690,List Building for Affiliate Marketing Using Facebook,True,394,4.3,4.23961,4.23961,49,False,"list, building, affiliate, marketing, facebook"
2337836,Xero Bills and Purchases - The Complete Training Course,True,157,4.85,4.86379,4.86379,49,False,"xero, bills, purchases, complete, training, course"
2342680,Futures Trading Ninja: DIY 12Hour TOP-NOTCH Trading Strategy,True,5803,3.9,3.88266,3.88266,49,False,"futures, trading, ninja, diy, 12hour, notch, trading, strategy"
2597824,PMI-ACP Explained: Pass PMI-ACP Exam From First Trial,True,1335,4.57143,4.51074,4.51074,49,False,"pmi, acp, explained, pass, pmi, acp, exam, trial"
2815565,Merch By Amazon - The Ultimate Beginners Guide For 2020,True,6049,4.3,4.2555,4.2555,49,False,"merch, amazon, ultimate, beginners, guide, 2020"
2781792,Operations Management: Operations Scheduling,True,4556,4.2,4.25634,4.25634,49,False,"operations, management, operations, scheduling"
2671588,Oracle Data Integrator (ODI) 12C Developer Beginner Training,True,180,4.35,4.35626,4.35626,49,False,"oracle, data, integrator, odi, 12c, developer, beginner, training"
3219941,The 60 Minute Masterclass on Facilitating Virtual Meetings,True,5858,4.27551,4.28635,4.28635,49,False,"60, minute, masterclass, facilitating, virtual, meetings"
2945176,How to Sell on Amazon FBA in 2020,True,184,4.53125,4.4993,4.4993,52,False,"sell, amazon, fba, 2020"
